anime_id,name,episodes,aired,image_url,genres,type
704,GOSICK -ゴシック-,24,"Jan 8, 2011 to Jul 2, 2011",https://cdn.myanimelist.net/images/anime/11/27906.jpg,"Mystery, Historical, Drama, Romance",TV
1051,世界一初恋 2,12,"Oct 8, 2011 to Dec 24, 2011",https://cdn.myanimelist.net/images/anime/8/34871.jpg,"Comedy, Drama, Romance, Shounen Ai",TV
665,キングダム 第2シリーズ,39,"Jun 8, 2013 to Mar 2, 2014",https://cdn.myanimelist.net/images/anime/13/53589.jpg,"Action, Military, Historical, Seinen",TV
756,美少女戦士セーラームーン Super S,39,"Mar 4, 1995 to Mar 2, 1996",https://cdn.myanimelist.net/images/anime/1600/92253.jpg,"Drama, Magic, Romance, Shoujo",TV
188,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,24,"Oct 3, 2008 to Mar 27, 2009",https://cdn.myanimelist.net/images/anime/1299/110774.jpg,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV
220,ハチミツとクローバー,24,"Apr 15, 2005 to Sep 27, 2005",https://cdn.myanimelist.net/images/anime/1301/133577.jpg,"Comedy, Drama, Josei, Romance, Slice of Life",TV
678,スペシャル・エー,24,"Apr 7, 2008 to Sep 15, 2008",https://cdn.myanimelist.net/images/anime/8/77363.jpg,"Comedy, Romance, School, Shoujo",TV
674,銀河英雄伝説,110,"Jan 8, 1988 to Mar 17, 1997",https://cdn.myanimelist.net/images/anime/13/13225.jpg,"Military, Sci-Fi, Space, Drama",OVA
241,劇場版 空の境界 the Garden of sinners 第三章『痛覚残留』,1,"Feb 9, 2008",https://cdn.myanimelist.net/images/anime/4/21735.jpg,"Action, Mystery, Supernatural, Drama, Thriller",Movie
313,愛してるぜ ベイベ★★,26,"Apr 3, 2004 to Oct 9, 2004",https://cdn.myanimelist.net/images/anime/2/69665.jpg,"Comedy, Drama, Romance, Shoujo",TV
400,メジャー （第1シリーズ）,26,"Nov 13, 2004 to May 21, 2005",https://cdn.myanimelist.net/images/anime/13/73973.jpg,"Comedy, Sports, Drama, Shounen",TV
25,ひぐらしのなく頃に解,24,"Jul 6, 2007 to Dec 18, 2007",https://cdn.myanimelist.net/images/anime/12/14114.jpg,"Mystery, Psychological, Supernatural, Thriller",TV
1538,銀魂。,12,"Jan 9, 2017 to Mar 27, 2017",https://cdn.myanimelist.net/images/anime/3/83528.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
